ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000092592	NA	NA	NA
ENSDARG00000092593	NA	NA	NA
ENSDARG00000092596	NA	NA	NA
ENSDARG00000092599	NA	NA	NA
ENSDARG00000092600	NA	NA	NA
ENSDARG00000092602	NA	NA	NA
ENSDARG00000092604	100149225	si:ch211-15j1.4	si:ch211-15j1.4
ENSDARG00000092605	793476	znf1003	zinc finger protein 1003
ENSDARG00000092606	NA	NA	NA
ENSDARG00000092607	NA	NA	NA
ENSDARG00000092608	798048	si:dkey-262g12.12	si:dkey-262g12.12
ENSDARG00000092609	324654	aup1	AUP1 lipid droplet regulating VLDL assembly factor
ENSDARG00000092610	563328	lamp1b	lysosomal associated membrane protein 1b
ENSDARG00000092615	NA	NA	NA
ENSDARG00000092616	100034401	si:dkey-204f11.3	si:dkey-204f11.3
ENSDARG00000092623	NA	NA	NA
ENSDARG00000092624	NA	NA	NA
ENSDARG00000092625	560031	si:dkey-10b15.8	si:dkey-10b15.8
ENSDARG00000092626	569527	zgc:174931	zgc:174931
ENSDARG00000092627	NA	NA	NA
ENSDARG00000092630	NA	NA	NA
ENSDARG00000092632	110438227	LOC110438227	uncharacterized LOC110438227
ENSDARG00000092633	NA	NA	NA
ENSDARG00000092634	103909973	ifi44a4	interferon induced protein 44a4
ENSDARG00000092635	NA	NA	NA
ENSDARG00000092636	101885111	si:dkey-46k9.4	si:dkey-46k9.4
ENSDARG00000092638	563584	ptprua	protein tyrosine phosphatase receptor type Ua
ENSDARG00000092639	NA	NA	NA
ENSDARG00000092640	NA	NA	NA
ENSDARG00000092641	NA	NA	NA
ENSDARG00000092644	570775	ago1	argonaute RISC component 1
ENSDARG00000092645	NA	NA	NA
ENSDARG00000092650	100004731	si:ch211-223p8.8	si:ch211-223p8.8
ENSDARG00000092651	569865	si:dkey-57a22.11	si:dkey-57a22.11
ENSDARG00000092652	100331807	LOC100331807	pyroglutamylated RFamide peptide receptor-like
ENSDARG00000092653	100151365	si:dkey-1h24.6	si:dkey-1h24.6
ENSDARG00000092658	NA	NA	NA
ENSDARG00000092659	564337	ppp3r1a	protein phosphatase 3, regulatory subunit B, alpha a
ENSDARG00000092660	558396	cyp27c1	cytochrome P450, family 27, subfamily C, polypeptide 1
ENSDARG00000092662	100148431	dnaaf3	dynein axonemal assembly factor 3
ENSDARG00000092664	101884722	si:dkey-93m18.3	si:dkey-93m18.3
ENSDARG00000092666	NA	NA	NA
ENSDARG00000092667	101886059	si:ch211-271e10.2	si:ch211-271e10.2
ENSDARG00000092668	NA	NA	NA
ENSDARG00000092671	100149472	pard3ba	par-3 family cell polarity regulator beta a
ENSDARG00000092673	NA	NA	NA
ENSDARG00000092677	100150991	coa6	cytochrome c oxidase assembly factor 6
ENSDARG00000092679	NA	NA	NA
ENSDARG00000092680	100332352	si:dkey-58f10.12	si:dkey-58f10.12
ENSDARG00000092683	NA	NA	NA
ENSDARG00000092686	NA	NA	NA
ENSDARG00000092687	NA	NA	NA
ENSDARG00000092691	NA	NA	NA
ENSDARG00000092692	100034408	pimr133	Pim proto-oncogene, serine/threonine kinase, related 133
ENSDARG00000092693	30723	tpt1	tumor protein, translationally-controlled 1
ENSDARG00000092695	NA	NA	NA
ENSDARG00000092696	563363	cyp11a2	cytochrome P450, family 11, subfamily A, polypeptide 2
ENSDARG00000092697	NA	NA	NA
ENSDARG00000092702	560943	si:dkeyp-20e4.8	si:dkeyp-20e4.8
ENSDARG00000092705	NA	NA	NA
ENSDARG00000092707	100150158	or124-1	odorant receptor, family E, subfamily 124, member 1
ENSDARG00000092708	NA	NA	NA
ENSDARG00000092709	NA	NA	NA
ENSDARG00000092711	797383	LOC797383	uncharacterized LOC797383
ENSDARG00000092713	NA	NA	NA
ENSDARG00000092714	557488	si:ch211-266a5.12	si:ch211-266a5.12
ENSDARG00000092715	108190967	LOC108190967	fibrinogen silencer-binding protein-like
ENSDARG00000092716	100001748	vash1	vasohibin 1
ENSDARG00000092717	108183408	LOC108183408	uncharacterized LOC108183408
ENSDARG00000092718	566487	gbgt1l2	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 2
ENSDARG00000092719	NA	NA	NA
ENSDARG00000092721	NA	NA	NA
ENSDARG00000092722	566274	unc5da	unc-5 netrin receptor Da
ENSDARG00000092723	NA	NA	NA
ENSDARG00000092725	NA	NA	NA
ENSDARG00000092726	NA	NA	NA
ENSDARG00000092728	565661	si:dkey-266f7.4	si:dkey-266f7.4
ENSDARG00000092730	555617	enam	enamelin
ENSDARG00000092731	751750	mhc1uka	major histocompatibility complex class I UKA
ENSDARG00000092732	NA	NA	NA
ENSDARG00000092738	NA	NA	NA
ENSDARG00000092739	NA	NA	NA
ENSDARG00000092740	NA	NA	NA
ENSDARG00000092742	NA	NA	NA
ENSDARG00000092745	567984	ftr37	finTRIM family, member 37
ENSDARG00000092746	558029	si:ch211-150o23.2	si:ch211-150o23.2
ENSDARG00000092749	NA	NA	NA
ENSDARG00000092750	NA	NA	NA
ENSDARG00000092752	NA	NA	NA
ENSDARG00000092758	557416	caiap	CARD- and ANK-containing Inflammasome Adaptor Protein
ENSDARG00000092759	558818	LOC558818	protein NLRC3-like
ENSDARG00000092762	NA	NA	NA
ENSDARG00000092764	795507	si:dkey-57a22.14	si:dkey-57a22.14
ENSDARG00000092765	100151333	LOC100151333	gastrula zinc finger protein XlCGF57.1-like
ENSDARG00000092766	566190	si:dkeyp-68b7.7	si:dkeyp-68b7.7
ENSDARG00000092770	103909313	si:ch211-253p18.2	si:ch211-253p18.2
ENSDARG00000092771	NA	NA	NA
ENSDARG00000092772	NA	NA	NA
ENSDARG00000092774	100330276	tars3	threonyl-tRNA synthetase 3
ENSDARG00000092775	110439536	LOC110439536	uncharacterized LOC110439536
ENSDARG00000092778	101886663	LOC101886663	uncharacterized LOC101886663
ENSDARG00000092779	NA	NA	NA
ENSDARG00000092780	101886800	LOC101886800	uncharacterized LOC101886800
ENSDARG00000092781	NA	NA	NA
ENSDARG00000092784	NA	NA	NA
ENSDARG00000092787	558861	si:dkey-88p24.11	si:dkey-88p24.11
ENSDARG00000092788	567711	si:dkey-21e2.15	si:dkey-21e2.15
ENSDARG00000092791	NA	NA	NA
ENSDARG00000092792	436699	rprm3	reprimo, TP53 dependent G2 arrest mediator homolog 3
ENSDARG00000092793	NA	NA	NA
ENSDARG00000092798	406292	ppib	peptidylprolyl isomerase B (cyclophilin B)
ENSDARG00000092799	NA	NA	NA
ENSDARG00000092800	NA	NA	NA
ENSDARG00000092801	100536995	LOC100536995	RIIa domain-containing protein 1-like
ENSDARG00000092802	101883797	LOC101883797	uncharacterized LOC101883797
ENSDARG00000092806	100538070	si:ch1073-110a20.2	si:ch1073-110a20.2
ENSDARG00000092807	NA	NA	NA
ENSDARG00000092808	NA	NA	NA
ENSDARG00000092809	58043	hoxc9a	homeobox C9a
ENSDARG00000092810	327172	stap2a	signal transducing adaptor family member 2a
ENSDARG00000092813	NA	NA	NA
ENSDARG00000092814	NA	NA	NA
ENSDARG00000092816	100334554	si:dkey-93n13.2	si:dkey-93n13.2
ENSDARG00000092818	NA	NA	NA
ENSDARG00000092823	565424	si:dkeyp-67a8.4	si:dkeyp-67a8.4
ENSDARG00000092825	794890	si:dkey-42p14.3	si:dkey-42p14.3
ENSDARG00000092826	NA	NA	NA
ENSDARG00000092829	NA	NA	NA
ENSDARG00000092831	NA	NA	NA
ENSDARG00000092833	100535122	si:dkeyp-1h4.8	si:dkeyp-1h4.8
ENSDARG00000092834	NA	NA	NA
ENSDARG00000092842	NA	NA	NA
ENSDARG00000092845	NA	NA	NA
ENSDARG00000092846	100037365	zgc:162611	zgc:162611
ENSDARG00000092847	NA	NA	NA
ENSDARG00000092849	NA	NA	NA
ENSDARG00000092850	NA	NA	NA
ENSDARG00000092853	NA	NA	NA
ENSDARG00000092855	100320270	srbd1	S1 RNA binding domain 1
ENSDARG00000092856	100307101	si:ch211-210c8.7	si:ch211-210c8.7
ENSDARG00000092858	555816	si:ch1073-126c3.2	si:ch1073-126c3.2
ENSDARG00000092862	NA	NA	NA
ENSDARG00000092863	NA	NA	NA
ENSDARG00000092870	NA	NA	NA
ENSDARG00000092872	798916	upk3b	uroplakin 3b
ENSDARG00000092873	557217	zgc:193541	zgc:193541
ENSDARG00000092875	NA	NA	NA
ENSDARG00000092878	NA	NA	NA
ENSDARG00000092880	NA	NA	NA
ENSDARG00000092881	497540	rbm20	RNA binding motif protein 20
ENSDARG00000092882	NA	NA	NA
ENSDARG00000092883	565664	ifi44c1	interferon induced protein 44c1
ENSDARG00000092885	100124621	zgc:171977	zgc:171977
ENSDARG00000092887	NA	NA	NA
ENSDARG00000092889	100005931	zgc:194246	zgc:194246
ENSDARG00000092890	NA	NA	NA
ENSDARG00000092892	NA	NA	NA
ENSDARG00000092893	NA	NA	NA
ENSDARG00000092894	796649	si:ch211-114l13.9	si:ch211-114l13.9
ENSDARG00000092895	100004663	ifi27.8	interferon alpha inducible protein 27.8
ENSDARG00000092896	NA	NA	NA
ENSDARG00000092898	100006583	si:dkey-105h11.2	si:dkey-105h11.2
ENSDARG00000092900	NA	NA	NA
ENSDARG00000092903	751757	zgc:153317	zgc:153317
ENSDARG00000092905	NA	NA	NA
ENSDARG00000092908	101885707	LOC101885707	serine/threonine-protein kinase Nek4-like
ENSDARG00000092912	NA	NA	NA
ENSDARG00000092913	NA	NA	NA
ENSDARG00000092914	NA	NA	NA
ENSDARG00000092916	100333520	mlnl	motilin-like
ENSDARG00000092918	100002312	crhr2	corticotropin releasing hormone receptor 2
ENSDARG00000092919	563179	zp3c	zona pellucida glycoprotein 3c
ENSDARG00000092920	561742	si:ch211-106h4.12	si:ch211-106h4.12
ENSDARG00000092923	NA	NA	NA
ENSDARG00000092924	NA	NA	NA
ENSDARG00000092925	NA	NA	NA
ENSDARG00000092926	NA	NA	NA
ENSDARG00000092927	NA	NA	NA
ENSDARG00000092930	100034593	si:ch211-132b12.4	si:ch211-132b12.4
ENSDARG00000092931	565476	si:ch211-114c12.5	si:ch211-114c12.5
ENSDARG00000092934	100001663	si:dkey-32e6.3	si:dkey-32e6.3
ENSDARG00000092938	100137115	zgc:173713	zgc:173713
ENSDARG00000092939	NA	NA	NA
ENSDARG00000092940	NA	NA	NA
ENSDARG00000092941	795109	si:dkey-222h21.3	si:dkey-222h21.3
ENSDARG00000092943	108191524	LOC108191524	trace amine-associated receptor 13c-like
ENSDARG00000092944	NA	NA	NA
ENSDARG00000092945	557772	si:ch211-250g4.3	si:ch211-250g4.3
ENSDARG00000092946	NA	NA	NA
ENSDARG00000092947	30327	cyt1	type I cytokeratin, enveloping layer
ENSDARG00000092948	100034592	gna15.3	guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 3
ENSDARG00000092949	798310	si:dkey-34k9.3	si:dkey-34k9.3
ENSDARG00000092950	NA	NA	NA
ENSDARG00000092951	NA	NA	NA
ENSDARG00000092954	552972	mrpl34	mitochondrial ribosomal protein L34
ENSDARG00000092955	NA	NA	NA
ENSDARG00000092956	NA	NA	NA
ENSDARG00000092961	560716	ftr26	finTRIM family, member 26
ENSDARG00000092962	NA	NA	NA
ENSDARG00000092963	NA	NA	NA
ENSDARG00000092965	NA	NA	NA
ENSDARG00000092967	108180807	si:dkey-93m18.4	si:dkey-93m18.4
ENSDARG00000092968	101886167	LOC101886167	gastrula zinc finger protein XlCGF8.2DB-like
ENSDARG00000092970	566329	tmsb2	thymosin beta 2
ENSDARG00000092973	NA	NA	NA
ENSDARG00000092975	NA	NA	NA
ENSDARG00000092976	558050	si:ch211-127i16.2	si:ch211-127i16.2
ENSDARG00000092979	564149	pias2	protein inhibitor of activated STAT, 2
ENSDARG00000092980	110438186	LOC110438186	uncharacterized LOC110438186
ENSDARG00000092984	103909520	si:dkey-222h21.11	si:dkey-222h21.11
ENSDARG00000092985	NA	NA	NA
ENSDARG00000092987	100270739	zmat4a	zinc finger, matrin-type 4a
ENSDARG00000092989	564881	si:ch211-161n3.3	si:ch211-161n3.3
ENSDARG00000092995	NA	NA	NA
ENSDARG00000092996	110439250	LOC110439250	uncharacterized LOC110439250
ENSDARG00000092998	795321	si:ch211-202f5.3	si:ch211-202f5.3
ENSDARG00000092999	563091	tnni4b.1	troponin I4b, tandem duplicate 1
ENSDARG00000093000	NA	NA	NA
ENSDARG00000093001	NA	NA	NA
ENSDARG00000093003	791456	acy3.1	aspartoacylase (aminocyclase) 3, tandem duplicate 1
ENSDARG00000093005	560704	si:dkey-33c12.11	si:dkey-33c12.11
ENSDARG00000093006	767688	rarres3	retinoic acid receptor responder 3
ENSDARG00000093007	445224	mphosph6	M-phase phosphoprotein 6
ENSDARG00000093008	565465	adgrf3b	adhesion G protein-coupled receptor F3b
ENSDARG00000093010	NA	NA	NA
ENSDARG00000093011	NA	NA	NA
ENSDARG00000093013	NA	NA	NA
ENSDARG00000093014	NA	NA	NA
ENSDARG00000093015	NA	NA	NA
ENSDARG00000093016	NA	NA	NA
ENSDARG00000093019	NA	NA	NA
ENSDARG00000093020	NA	NA	NA
ENSDARG00000093021	100004942	si:dkey-171o17.8	si:dkey-171o17.8
ENSDARG00000093022	347743	selenoh	selenoprotein H
ENSDARG00000093023	NA	NA	NA
ENSDARG00000093024	569436	rnh1	ribonuclease/angiogenin inhibitor 1
ENSDARG00000093025	NA	NA	NA
ENSDARG00000093026	101885505	si:ch211-222n4.2	si:ch211-222n4.2
ENSDARG00000093030	NA	NA	NA
ENSDARG00000093036	NA	NA	NA
ENSDARG00000093038	NA	NA	NA
ENSDARG00000093040	NA	NA	NA
ENSDARG00000093041	100330526	znf1113	zinc finger protein 1113
ENSDARG00000093042	560366	si:dkey-104n9.1	si:dkey-104n9.1
ENSDARG00000093043	100384895	ugt2b1	UDP glucuronosyltransferase 2 family, polypeptide B1
ENSDARG00000093044	569866	si:ch211-161h7.5	si:ch211-161h7.5
ENSDARG00000093047	NA	NA	NA
ENSDARG00000093048	560966	si:ch211-158d24.4	si:ch211-158d24.4
ENSDARG00000093052	798694	LOC798694	complement component C6-like
ENSDARG00000093053	NA	NA	NA
ENSDARG00000093054	NA	NA	NA
ENSDARG00000093058	100170826	stmp1	short transmembrane mitochondrial protein 1
ENSDARG00000093059	100148547	lgals9l6	lectin, galactoside-binding, soluble, 9 (galectin 9)-like 6
ENSDARG00000093060	NA	NA	NA
ENSDARG00000093061	NA	NA	NA
ENSDARG00000093062	NA	NA	NA
ENSDARG00000093064	101886416	si:dkey-92j12.6	si:dkey-92j12.6
ENSDARG00000093065	556047	ubac2	UBA domain containing 2
ENSDARG00000093068	563665	c3b.1	complement component c3b, tandem duplicate 1
ENSDARG00000093070	562797	thumpd2	THUMP domain containing 2
ENSDARG00000093073	NA	NA	NA
ENSDARG00000093074	101885410	si:ch211-139g16.8	si:ch211-139g16.8
ENSDARG00000093075	NA	NA	NA
ENSDARG00000093078	564882	plscr3a	phospholipid scramblase 3a
ENSDARG00000093079	393327	proca	protein C (inactivator of coagulation factors Va and VIIIa), a
ENSDARG00000093080	NA	NA	NA
ENSDARG00000093081	NA	NA	NA
ENSDARG00000093082	NA	NA	NA
ENSDARG00000093083	NA	NA	NA
ENSDARG00000093084	NA	NA	NA
ENSDARG00000093086	NA	NA	NA
ENSDARG00000093087	NA	NA	NA
ENSDARG00000093088	NA	NA	NA
ENSDARG00000093089	100320280	tac3a	tachykinin precursor 3a
ENSDARG00000093091	555340	iqsec3b	IQ motif and Sec7 domain ArfGEF 3b
ENSDARG00000093093	560657	adam17b	ADAM metallopeptidase domain 17b
ENSDARG00000093098	100331911	ccl34b.8	chemokine (C-C motif) ligand 34b, duplicate 8
ENSDARG00000093099	NA	NA	NA
ENSDARG00000093100	NA	NA	NA
ENSDARG00000093102	103911758	si:ch211-132g1.6	si:ch211-132g1.6
ENSDARG00000093103	NA	NA	NA
ENSDARG00000093105	NA	NA	NA
ENSDARG00000093108	101883279	si:ch211-69l10.2	si:ch211-69l10.2
ENSDARG00000093111	100148497	si:ch211-209l18.2	si:ch211-209l18.2
ENSDARG00000093112	566645	espnlb	espin like b
ENSDARG00000093113	NA	NA	NA
ENSDARG00000093116	100034504	si:dkeyp-122a9.2	si:dkeyp-122a9.2
ENSDARG00000093117	NA	NA	NA
ENSDARG00000093118	NA	NA	NA
ENSDARG00000093119	100537097	si:dkey-40m6.14	si:dkey-40m6.14
ENSDARG00000093120	100537580	si:dkey-117m1.4	si:dkey-117m1.4
ENSDARG00000093124	100270761	scpp8	secretory calcium-binding phosphoprotein 8
ENSDARG00000093125	100317326	ranbp2	RAN binding protein 2
ENSDARG00000093126	100006560	si:ch73-112l6.1	si:ch73-112l6.1
ENSDARG00000093129	560783	si:rp71-45k5.2	si:rp71-45k5.2
ENSDARG00000093130	NA	NA	NA
ENSDARG00000093131	101883039	si:ch211-57f7.7	si:ch211-57f7.7
ENSDARG00000093135	NA	NA	NA
ENSDARG00000093136	NA	NA	NA
ENSDARG00000093137	NA	NA	NA
ENSDARG00000093141	NA	NA	NA
ENSDARG00000093143	100148686	znf1010	zinc finger protein 1010
ENSDARG00000093145	NA	NA	NA
ENSDARG00000093150	NA	NA	NA
ENSDARG00000093153	NA	NA	NA
ENSDARG00000093154	NA	NA	NA
ENSDARG00000093156	568516	si:ch73-21g5.7	si:ch73-21g5.7
ENSDARG00000093157	572225	LOC572225	zinc finger protein 501
ENSDARG00000093159	NA	NA	NA
ENSDARG00000093163	NA	NA	NA
ENSDARG00000093164	NA	NA	NA
ENSDARG00000093165	108183709	LOC108183709	gastrula zinc finger protein XlCGF8.2DB-like
ENSDARG00000093167	NA	NA	NA
ENSDARG00000093168	NA	NA	NA
ENSDARG00000093170	558073	mef2b	myocyte enhancer factor 2b
ENSDARG00000093172	NA	NA	NA
ENSDARG00000093173	103909417	LOC103909417	uncharacterized LOC103909417
ENSDARG00000093176	405845	ppt2a.4	palmitoyl-protein thioesterase 2a, tandem duplicate 4
ENSDARG00000093177	100148972	si:ch211-15j1.1	si:ch211-15j1.1
ENSDARG00000093179	NA	NA	NA
ENSDARG00000093180	NA	NA	NA
ENSDARG00000093181	NA	NA	NA
ENSDARG00000093182	565338	eif2ak1	eukaryotic translation initiation factor 2-alpha kinase 1
ENSDARG00000093183	100151063	or125-7	odorant receptor, family E, subfamily 125, member 7
ENSDARG00000093185	100330875	gucy1a2	guanylate cyclase 1, soluble, alpha 2
ENSDARG00000093186	795145	si:dkey-30j10.5	si:dkey-30j10.5
ENSDARG00000093188	794385	si:dkey-75a21.2	si:dkey-75a21.2
ENSDARG00000093189	NA	NA	NA
ENSDARG00000093192	100535597	si:ch211-198m1.1	si:ch211-198m1.1
ENSDARG00000093193	322420	chia.6	chitinase, acidic.6
ENSDARG00000093197	NA	NA	NA
ENSDARG00000093198	100331428	c3a.4	complement component c3a, duplicate 4
ENSDARG00000093199	100003785	si:ch211-212c13.10	si:ch211-212c13.10
ENSDARG00000093201	NA	NA	NA
ENSDARG00000093203	108180198	LOC108180198	tripartite motif-containing protein 16-like
ENSDARG00000093205	NA	NA	NA
ENSDARG00000093207	NA	NA	NA
ENSDARG00000093211	NA	NA	NA
ENSDARG00000093214	566600	si:ch211-284e13.9	si:ch211-284e13.9
ENSDARG00000093216	100537564	si:ch211-146l10.7	si:ch211-146l10.7
ENSDARG00000093219	NA	NA	NA
ENSDARG00000093220	NA	NA	NA
ENSDARG00000093223	NA	NA	NA
ENSDARG00000093224	NA	NA	NA
ENSDARG00000093227	NA	NA	NA
ENSDARG00000093230	570095	si:ch211-139n6.3	si:ch211-139n6.3
ENSDARG00000093232	NA	NA	NA
ENSDARG00000093233	NA	NA	NA
ENSDARG00000093234	793688	si:dkey-65l23.2	si:dkey-65l23.2
ENSDARG00000093235	796025	zgc:162544	zgc:162544
ENSDARG00000093237	566247	si:ch211-89o9.4	si:ch211-89o9.4
ENSDARG00000093239	NA	NA	NA
ENSDARG00000093240	568906	si:ch73-302a13.2	si:ch73-302a13.2
ENSDARG00000093243	NA	NA	NA
ENSDARG00000093244	NA	NA	NA
ENSDARG00000093247	NA	NA	NA
ENSDARG00000093248	NA	NA	NA
ENSDARG00000093249	561329	si:ch211-226h8.11	si:ch211-226h8.11
ENSDARG00000093251	NA	NA	NA
ENSDARG00000093252	NA	NA	NA
ENSDARG00000093253	100332553	mfsd3	major facilitator superfamily domain containing 3
ENSDARG00000093254	567317	znf569l	zinc finger protein 569, like
ENSDARG00000093255	110438210	wu:fi34e01	wu:fi34e01
ENSDARG00000093256	NA	NA	NA
ENSDARG00000093266	NA	NA	NA
ENSDARG00000093267	110440193	LOC110440193	cyclic nucleotide-gated cation channel alpha-3-like
ENSDARG00000093269	100002270	si:ch73-62b13.1	si:ch73-62b13.1
ENSDARG00000093270	NA	NA	NA
ENSDARG00000093272	NA	NA	NA
ENSDARG00000093273	NA	NA	NA
ENSDARG00000093274	NA	NA	NA
ENSDARG00000093275	NA	NA	NA
ENSDARG00000093279	108179508	LOC108179508	carcinoembryonic antigen-related cell adhesion molecule 5-like
ENSDARG00000093282	NA	NA	NA
ENSDARG00000093284	108191294	si:ch211-173m16.2	si:ch211-173m16.2
ENSDARG00000093286	566743	ankrd34c	ankyrin repeat domain 34C
ENSDARG00000093287	NA	NA	NA
ENSDARG00000093288	NA	NA	NA
ENSDARG00000093289	101884464	si:dkey-9i23.14	si:dkey-9i23.14
ENSDARG00000093297	NA	NA	NA
ENSDARG00000093303	100003209	ifitm1	interferon induced transmembrane protein 1
ENSDARG00000093304	NA	NA	NA
ENSDARG00000093305	NA	NA	NA
ENSDARG00000093306	NA	NA	NA
ENSDARG00000093309	NA	NA	NA
ENSDARG00000093312	NA	NA	NA
ENSDARG00000093313	550134	ubb	ubiquitin B
ENSDARG00000093316	100537224	adgrf8	adhesion G protein-coupled receptor F8
ENSDARG00000093317	100537083	si:ch211-209j10.6	si:ch211-209j10.6
ENSDARG00000093318	795575	si:dkey-57a22.15	si:dkey-57a22.15
ENSDARG00000093320	NA	NA	NA
ENSDARG00000093322	NA	NA	NA
ENSDARG00000093323	566121	si:ch211-114l13.1	si:ch211-114l13.1
ENSDARG00000093326	NA	NA	NA
ENSDARG00000093327	NA	NA	NA
ENSDARG00000093331	NA	NA	NA
ENSDARG00000093333	NA	NA	NA
ENSDARG00000093336	NA	NA	NA
ENSDARG00000093337	NA	NA	NA
ENSDARG00000093338	NA	NA	NA
ENSDARG00000093342	101882577	si:ch211-13f8.1	si:ch211-13f8.1
ENSDARG00000093345	100005035	si:ch73-27e22.7	si:ch73-27e22.7
ENSDARG00000093347	799879	LOC799879	novel protein containing SEA domains
ENSDARG00000093348	NA	NA	NA
ENSDARG00000093349	100150732	si:ch211-141e20.2	si:ch211-141e20.2
ENSDARG00000093350	NA	NA	NA
ENSDARG00000093353	327130	si:ch211-263m18.4	si:ch211-263m18.4
ENSDARG00000093354	NA	NA	NA
ENSDARG00000093355	NA	NA	NA
ENSDARG00000093357	100535812	nyap2b	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2b
ENSDARG00000093358	NA	NA	NA
ENSDARG00000093359	100317089	inpp5jb	inositol polyphosphate-5-phosphatase Jb
ENSDARG00000093360	NA	NA	NA
ENSDARG00000093364	NA	NA	NA
ENSDARG00000093366	555411	acer3	alkaline ceramidase 3
ENSDARG00000093367	NA	NA	NA
ENSDARG00000093369	NA	NA	NA
ENSDARG00000093370	NA	NA	NA
ENSDARG00000093371	NA	NA	NA
ENSDARG00000093374	NA	NA	NA
ENSDARG00000093376	NA	NA	NA
ENSDARG00000093378	110437792	LOC110437792	gastrula zinc finger protein xLCGF3.1-like
ENSDARG00000093381	559012	tgm2l	transglutaminase 2, like
ENSDARG00000093382	558925	uqcc3	ubiquinol-cytochrome c reductase complex assembly factor 3
ENSDARG00000093383	NA	NA	NA
ENSDARG00000093384	101886875	LOC101886875	von Willebrand factor A domain-containing protein 7-like
ENSDARG00000093385	NA	NA	NA
ENSDARG00000093386	101886381	si:dkeyp-82a1.1	si:dkeyp-82a1.1
ENSDARG00000093389	NA	NA	NA
ENSDARG00000093391	100034556	si:ch211-282j17.7	si:ch211-282j17.7
ENSDARG00000093392	NA	NA	NA
ENSDARG00000093393	NA	NA	NA
ENSDARG00000093398	NA	NA	NA
ENSDARG00000093401	NA	NA	NA
ENSDARG00000093402	569265	LOC569265	novel NACHT domain containing protein
ENSDARG00000093403	NA	NA	NA
ENSDARG00000093404	NA	NA	NA
ENSDARG00000093405	552927	casp6a	caspase 6, apoptosis-related cysteine peptidase a
ENSDARG00000093406	553664	zgc:111986	zgc:111986
ENSDARG00000093407	NA	NA	NA
ENSDARG00000093408	100005956	pimr53	Pim proto-oncogene, serine/threonine kinase, related 53
ENSDARG00000093410	NA	NA	NA
ENSDARG00000093411	100329827	gad1a	glutamate decarboxylase 1a
ENSDARG00000093412	571662	sertad2a	SERTA domain containing 2a
ENSDARG00000093413	793444	edil3a	EGF-like repeats and discoidin I-like domains 3a
ENSDARG00000093415	100034605	si:dkey-78l4.1	si:dkey-78l4.1
ENSDARG00000093416	NA	NA	NA
ENSDARG00000093418	101883564	si:dkey-216e24.9	si:dkey-216e24.9
ENSDARG00000093419	NA	NA	NA
ENSDARG00000093420	550516	creb1b	cAMP responsive element binding protein 1b
ENSDARG00000093422	NA	NA	NA
ENSDARG00000093423	100329809	swsap1	SWIM-type zinc finger 7 associated protein 1
ENSDARG00000093424	NA	NA	NA
ENSDARG00000093425	NA	NA	NA
ENSDARG00000093426	108180203	LOC108180203	101 kDa malaria antigen-like
ENSDARG00000093427	NA	NA	NA
ENSDARG00000093428	101882593	si:dkey-23f21.1	si:dkey-23f21.1
ENSDARG00000093430	NA	NA	NA
ENSDARG00000093431	NA	NA	NA
ENSDARG00000093432	NA	NA	NA
ENSDARG00000093438	100006891	si:ch73-191k20.4	si:ch73-191k20.4
ENSDARG00000093440	678516	tnfaip6	tumor necrosis factor, alpha-induced protein 6
ENSDARG00000093442	NA	NA	NA
ENSDARG00000093443	110438071	LOC110438071	uncharacterized LOC110438071
ENSDARG00000093444	100534806	si:dkey-106l3.7	si:dkey-106l3.7
ENSDARG00000093446	NA	NA	NA
ENSDARG00000093448	436671	mpc1	mitochondrial pyruvate carrier 1
ENSDARG00000093449	NA	NA	NA
ENSDARG00000093450	108181086	LOC108181086	duodenase-1-like
ENSDARG00000093452	NA	NA	NA
ENSDARG00000093453	100536210	ahdc1	AT hook, DNA binding motif, containing 1
ENSDARG00000093456	323780	oip5-as1	oip5 antisense RNA 1
ENSDARG00000093457	110438205	LOC110438205	collagen alpha-1(III) chain-like
ENSDARG00000093458	NA	NA	NA
ENSDARG00000093460	101884270	gpr52	G protein-coupled receptor 52
ENSDARG00000093461	NA	NA	NA
ENSDARG00000093462	NA	NA	NA
ENSDARG00000093463	NA	NA	NA
ENSDARG00000093465	NA	NA	NA
ENSDARG00000093469	100329742	znf653	zinc finger protein 653
ENSDARG00000093470	NA	NA	NA
ENSDARG00000093471	108191306	LOC108191306	uncharacterized LOC108191306
ENSDARG00000093473	NA	NA	NA
ENSDARG00000093476	559062	si:dkey-175d9.2	si:dkey-175d9.2
ENSDARG00000093477	641477	zgc:123299	zgc:123299
ENSDARG00000093478	NA	NA	NA
ENSDARG00000093479	NA	NA	NA
ENSDARG00000093480	100330319	pamr1	peptidase domain containing associated with muscle regeneration 1
ENSDARG00000093483	NA	NA	NA
ENSDARG00000093484	NA	NA	NA
ENSDARG00000093485	NA	NA	NA
ENSDARG00000093486	NA	NA	NA
ENSDARG00000093487	NA	NA	NA
ENSDARG00000093488	NA	NA	NA
ENSDARG00000093491	100034628	si:dkey-78l4.8	si:dkey-78l4.8
